BRNCH_NME,MonthNam,ProdGroup,TotalAccounts,EOPBalance,AvgMTLBalnce
NEW PALASIA,Sep 2017,FD,336,183866332,183866332
NEW PALASIA,Aug 2017,FD,123,39974066,39974066
NEW PALASIA,Oct 2017,FD,209,112972166,112972166
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,May 2017,FD,66,29614480,29614480
THANE BRANCH,Jun 2017,FD,171,21987388,21987388
THANE BRANCH,Sep 2017,FD,692,290093776,290093776
THANE BRANCH,Jul 2017,FD,232,35887388,35887388
THANE BRANCH,Oct 2017,FD,386,151622888,151622888
THANE BRANCH,Aug 2017,FD,288,103868388,103868388
KAMRAJ NAGAR  PUDUCHERRY,Sep 2017,FD,262,61484000,61484000
KAMRAJ NAGAR  PUDUCHERRY,Aug 2017,FD,97,20899000,20899000
KAMRAJ NAGAR  PUDUCHERRY,Oct 2017,FD,140,36197409,36197409
KAMRAJ NAGAR  PUDUCHERRY,Jul 2017,FD,72,15335001,15335001
KAMRAJ NAGAR  PUDUCHERRY,Jun 2017,FD,41,8965001,8965001
THANE BRANCH,Mar 2017,FD,75,7804888,7804888
THANE BRANCH,Apr 2017,FD,109,11999888,11999888
THANE BRANCH,May 2017,FD,139,15917388,15917388
NEW PALASIA,May 2017,FD,42,7046000,7046000
NEW PALASIA,Jun 2017,FD,73,22356066,22356066
SADASHIV PETH   PUNE,Apr 2017,FD,20,3960000,3960000
KOTHRUD PUNE BRANCH,Mar 2017,FD,118,73452900,73452900
KAMRAJ NAGAR  PUDUCHERRY,May 2017,FD,29,6365001,6365001
KAMRAJ NAGAR  PUDUCHERRY,Apr 2017,FD,13,2145001,2145001
THANE BRANCH,Feb 2017,FD,10,455888,455888
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Apr 2017,FD,18,3690000,3690000
Wadachiwadi,Sep 2017,FD,74,64750200,64750200
Wadachiwadi,Oct 2017,FD,55,32725100,32725100
KOTHRUD PUNE BRANCH,Feb 2017,FD,32,5832900,5832900
MHALUNGE BUS STOP  PUNE,Sep 2017,FD,142,109900000,109900000
MHALUNGE BUS STOP  PUNE,Aug 2017,FD,57,53410000,53410000
MHALUNGE BUS STOP  PUNE,Jun 2017,FD,34,28950000,28950000
MHALUNGE BUS STOP  PUNE,Jul 2017,FD,45,52400000,52400000
MHALUNGE BUS STOP  PUNE,Oct 2017,FD,71,55150000,55150000
KOTHRUD PUNE BRANCH,Apr 2017,FD,127,75768095,75768095
MHALUNGE BUS STOP  PUNE,May 2017,FD,7,4250000,4250000
Alandi,Oct 2017,FD,41,27183000,27183000
CHINCHWAD  PUNE BRANCH,Apr 2017,FD,21,4610000,4610000
CHINCHWAD  PUNE BRANCH,Jul 2017,FD,78,77250000,77250000
Alandi,Sep 2017,FD,46,53610000,53610000
CHINCHWAD  PUNE BRANCH,May 2017,FD,46,6895000,6895000
Alandi,Aug 2017,FD,22,26085000,26085000
CHINCHWAD  PUNE BRANCH,Jun 2017,FD,61,71005000,71005000
CHINCHWAD  PUNE BRANCH,Sep 2017,FD,160,657600000,657600000
CHINCHWAD  PUNE BRANCH,Aug 2017,FD,63,76270000,76270000
CHINCHWAD  PUNE BRANCH,Oct 2017,FD,95,337220000,337220000
Varale,Sep 2017,FD,26,43100000,43100000
Varale,Aug 2017,FD,10,21375000,21375000
Varale,Oct 2017,FD,14,22300000,22300000
CBD BELAPUR,Jan 2017,FD,3,102001,102001
CHEMBUR BRANCH,Sep 2017,FD,902,298645182,298645182
CHEMBUR BRANCH,Aug 2017,FD,369,74375500,74375500
CHEMBUR BRANCH,Oct 2017,FD,478,302314102,302314102
KOTHRUD PUNE BRANCH,Aug 2017,FD,231,225645872,225645872
KOTHRUD PUNE BRANCH,Jul 2017,FD,199,146398872,146398872
KOTHRUD PUNE BRANCH,Oct 2017,FD,284,285487872,285487872
KOTHRUD PUNE BRANCH,Sep 2017,FD,540,479191744,479191744
KOTHRUD PUNE BRANCH,Jun 2017,FD,166,119175872,119175872
KOTHRUD PUNE BRANCH,May 2017,FD,141,95100872,95100872
PULLIYAKULAM ROAD   COIMBATORE,Oct 2017,FD,282,150075756,150075756
PULLIYAKULAM ROAD   COIMBATORE,Jun 2017,FD,84,36806000,36806000
PULLIYAKULAM ROAD   COIMBATORE,Sep 2017,FD,510,282649512,282649512
PULLIYAKULAM ROAD   COIMBATORE,Aug 2017,FD,169,97956256,97956256
PULLIYAKULAM ROAD   COIMBATORE,Jul 2017,FD,133,60789256,60789256
PULLIYAKULAM ROAD   COIMBATORE,May 2017,FD,35,14700000,14700000
PULLIYAKULAM ROAD   COIMBATORE,Apr 2017,FD,9,7200000,7200000
CHEMBUR BRANCH,Jul 2017,FD,327,55686000,55686000
NERUL BRANCH,Oct 2017,FD,15,6572000,6572000
NAVRANGPURA  AHMEDABAD,Sep 2017,FD,732,154040550,154040550
NAVRANGPURA  AHMEDABAD,Oct 2017,FD,402,90726775,90726775
NAVRANGPURA  AHMEDABAD,Aug 2017,FD,250,42414500,42414500
CHEMBUR BRANCH,Jun 2017,FD,226,41480000,41480000
CHEMBUR BRANCH,Mar 2017,FD,54,14101000,14101000
CHEMBUR BRANCH,Feb 2017,FD,24,7548000,7548000
CHEMBUR BRANCH,May 2017,FD,185,34698000,34698000
CHEMBUR BRANCH,Apr 2017,FD,111,25160000,25160000
NAVRANGPURA  AHMEDABAD,Jun 2017,FD,98,13005000,13005000
NAVRANGPURA  AHMEDABAD,Jul 2017,FD,181,36040000,36040000
NAVRANGPURA  AHMEDABAD,May 2017,FD,43,3767000,3767000
NAVRANGPURA  AHMEDABAD,Apr 2017,FD,4,450000,450000
Wadachiwadi,Aug 2017,FD,6,30500100,30500100
Varale,Jul 2017,FD,2,20050000,20050000
NEW PALASIA,Apr 2017,FD,4,1921000,1921000
TAMBARAM  CHENNAI,Oct 2017,FD,23,90680001,90680001
Alandi,Jul 2017,FD,1,20000000,20000000
Wadachiwadi,Jul 2017,FD,1,30000000,30000000
CBD BELAPUR,Oct 2017,RD,112,2875500,2875500
CBD BELAPUR,Sep 2017,RD,202,4783200,4783200
CBD BELAPUR,Aug 2017,RD,77,2171103.0003891,2171103.0003891
CBD BELAPUR,Jul 2017,RD,73,1681100,1681100
KOTHRUD PUNE BRANCH,Sep 2017,RD,32,567200,567200
KOTHRUD PUNE BRANCH,May 2017,RD,12,0,0
KOTHRUD PUNE BRANCH,Apr 2017,RD,12,0,0
KOTHRUD PUNE BRANCH,Jul 2017,RD,13,230200,230200
KOTHRUD PUNE BRANCH,Oct 2017,RD,16,330300,330300
KOTHRUD PUNE BRANCH,Aug 2017,RD,14,288900,288900
KOTHRUD PUNE BRANCH,Mar 2017,RD,9,0,0
KOTHRUD PUNE BRANCH,Jun 2017,RD,12,0,0
CBD BELAPUR,Jun 2017,RD,48,0,0
CBD BELAPUR,May 2017,RD,31,0,0
CBD BELAPUR,Apr 2017,RD,23,0,0
PULLIYAKULAM ROAD   COIMBATORE,Sep 2017,RD,36,512000,512000
PULLIYAKULAM ROAD   COIMBATORE,Oct 2017,RD,17,333000,333000
T. NAGAR  CHENNAI,Sep 2017,RD,54,712000,712000
T. NAGAR  CHENNAI,Oct 2017,RD,36,492000,492000
THANE BRANCH,Oct 2017,RD,30,1018500,1018500
THANE BRANCH,Sep 2017,RD,58,1644000,1644000
Wadachiwadi,Oct 2017,RD,14,6000,6000
NAVRANGPURA  AHMEDABAD,Jul 2017,RD,14,98000,98000
